age_slot,country,gender_slug,phototype_slug,protect,expo,count,protect_percent,expo_percent
20-39,SOUTH AFRICA,male,v_vi,12,84,123,9.75609756097561,68.29268292682927
20-39,SOUTH AFRICA,female,iii_iv,20,94,155,12.903225806451612,60.64516129032258
20-39,SOUTH AFRICA,female,i_ii,6,28,53,11.320754716981133,52.83018867924528
20-39,SOUTH AFRICA,female,v_vi,10,42,78,12.82051282051282,53.84615384615385
20-39,KENYA,male,iii_iv,0,30,42,0.0,71.42857142857143
20-39,KENYA,male,i_ii,1,5,13,7.6923076923076925,38.46153846153847
20-39,KENYA,male,v_vi,6,87,131,4.580152671755725,66.41221374045801
20-39,KENYA,female,iii_iv,7,51,65,10.76923076923077,78.46153846153847
20-39,KENYA,female,i_ii,2,4,5,40.0,80.0
20-39,KENYA,female,v_vi,9,76,119,7.563025210084033,63.86554621848739
20-39,UNITED ARAB EMIRATES,male,iii_iv,13,73,158,8.227848101265822,46.20253164556962
20-39,UNITED ARAB EMIRATES,male,i_ii,28,82,160,17.5,51.24999999999999
20-39,UNITED ARAB EMIRATES,male,v_vi,8,22,43,18.6046511627907,51.162790697674424
20-39,UNITED ARAB EMIRATES,female,iii_iv,14,41,71,19.718309859154928,57.74647887323944
20-39,UNITED ARAB EMIRATES,female,i_ii,19,37,95,20.0,38.94736842105263
20-39,UNITED ARAB EMIRATES,female,v_vi,0,1,5,0.0,20.0
20-39,PORTUGAL,male,iii_iv,12,46,97,12.371134020618557,47.42268041237113
20-39,PORTUGAL,male,i_ii,7,23,63,11.11111111111111,36.507936507936506
20-39,PORTUGAL,male,v_vi,1,3,10,10.0,30.0
20-39,PORTUGAL,female,iii_iv,18,36,93,19.35483870967742,38.70967741935484
20-39,PORTUGAL,female,i_ii,7,31,91,7.6923076923076925,34.065934065934066
20-39,PORTUGAL,female,v_vi,2,5,9,22.22222222222222,55.55555555555556
